UL,UC,UR,CL,CC,CR,0L,0C,0R,reward
1,1,1,1,-1,-1,1,-1,-1,1
1,1,1,1,-1,-1,-1,1,-1,1
1,1,1,1,-1,-1,-1,-1,1,1
1,1,1,1,-1,-1,-1,0,0,1
1,1,1,1,-1,-1,0,-1,0,1
1,1,1,1,-1,-1,0,0,-1,1
1,1,1,1,-1,0,-1,-1,0,1
1,1,1,1,-1,0,-1,0,-1,1
1,1,1,1,-1,0,0,-1,-1,1
1,1,1,1,0,-1,-1,-1,0,1
1,1,1,1,0,-1,-1,0,-1,1
1,1,1,1,0,-1,0,-1,-1,1
1,1,1,-1,1,-1,1,-1,-1,1
1,1,1,-1,1,-1,-1,1,-1,1
1,1,1,-1,1,-1,-1,-1,1,1
1,1,1,-1,1,-1,-1,0,0,1
1,1,1,-1,1,-1,0,-1,0,1
1,1,1,-1,1,-1,0,0,-1,1
1,1,1,-1,1,0,-1,-1,0,1
1,1,1,-1,1,0,-1,0,-1,1
1,1,1,-1,1,0,0,-1,-1,1
1,1,1,-1,-1,1,1,-1,-1,1
1,1,1,-1,-1,1,-1,1,-1,1
1,1,1,-1,-1,1,-1,-1,1,1
1,1,1,-1,-1,1,-1,0,0,1
1,1,1,-1,-1,1,0,-1,0,1
1,1,1,-1,-1,1,0,0,-1,1
1,1,1,-1,-1,0,1,-1,0,1
1,1,1,-1,-1,0,1,0,-1,1
1,1,1,-1,-1,0,-1,1,0,1
1,1,1,-1,-1,0,-1,0,1,1
1,1,1,-1,-1,0,0,1,-1,1
1,1,1,-1,-1,0,0,-1,1,1
1,1,1,-1,-1,0,0,0,0,1
1,1,1,-1,0,1,-1,-1,0,1
1,1,1,-1,0,1,-1,0,-1,1
1,1,1,-1,0,1,0,-1,-1,1
1,1,1,-1,0,-1,1,-1,0,1
1,1,1,-1,0,-1,1,0,-1,1
1,1,1,-1,0,-1,-1,1,0,1
1,1,1,-1,0,-1,-1,0,1,1
1,1,1,-1,0,-1,0,1,-1,1
1,1,1,-1,0,-1,0,-1,1,1
1,1,1,-1,0,-1,0,0,0,1
1,1,1,-1,0,0,1,-1,-1,1
1,1,1,-1,0,0,-1,1,-1,1
1,1,1,-1,0,0,-1,-1,1,1
1,1,1,-1,0,0,-1,0,0,1
1,1,1,-1,0,0,0,-1,0,1
1,1,1,-1,0,0,0,0,-1,1
1,1,1,0,1,-1,-1,-1,0,1
1,1,1,0,1,-1,-1,0,-1,1
1,1,1,0,1,-1,0,-1,-1,1
1,1,1,0,-1,1,-1,-1,0,1
1,1,1,0,-1,1,-1,0,-1,1
1,1,1,0,-1,1,0,-1,-1,1
1,1,1,0,-1,-1,1,-1,0,1
1,1,1,0,-1,-1,1,0,-1,1
1,1,1,0,-1,-1,-1,1,0,1
1,1,1,0,-1,-1,-1,0,1,1
1,1,1,0,-1,-1,0,1,-1,1
1,1,1,0,-1,-1,0,-1,1,1
1,1,1,0,-1,-1,0,0,0,1
1,1,1,0,-1,0,1,-1,-1,1
1,1,1,0,-1,0,-1,1,-1,1
1,1,1,0,-1,0,-1,-1,1,1
1,1,1,0,-1,0,-1,0,0,1
1,1,1,0,-1,0,0,-1,0,1
1,1,1,0,-1,0,0,0,-1,1
1,1,1,0,0,-1,1,-1,-1,1
1,1,1,0,0,-1,-1,1,-1,1
1,1,1,0,0,-1,-1,-1,1,1
1,1,1,0,0,-1,-1,0,0,1
1,1,1,0,0,-1,0,-1,0,1
1,1,1,0,0,-1,0,0,-1,1
1,1,1,0,0,0,-1,-1,0,1
1,1,1,0,0,0,-1,0,-1,1
1,1,1,0,0,0,0,-1,-1,1
1,1,-1,1,1,-1,-1,-1,1,1
1,1,-1,1,-1,1,1,-1,-1,1
1,1,-1,1,-1,-1,1,-1,1,1
1,1,-1,1,-1,-1,1,0,0,1
1,1,-1,1,-1,0,1,-1,0,1
1,1,-1,1,-1,0,1,0,-1,1
1,1,-1,1,0,-1,1,-1,0,1
1,1,-1,1,0,0,1,-1,-1,1
1,1,-1,-1,1,1,-1,1,-1,1
1,1,-1,-1,1,1,-1,-1,1,1
1,1,-1,-1,1,-1,1,-1,1,1
1,1,-1,-1,1,-1,-1,1,1,1
1,1,-1,-1,1,-1,0,1,0,1
1,1,-1,-1,1,-1,0,0,1,1
1,1,-1,-1,1,0,-1,1,0,1
1,1,-1,-1,1,0,-1,0,1,1
1,1,-1,-1,1,0,0,1,-1,1
1,1,-1,-1,1,0,0,-1,1,1
1,1,-1,0,1,-1,-1,1,0,1
1,1,-1,0,1,-1,-1,0,1,1
1,1,-1,0,1,-1,0,-1,1,1
1,1,-1,0,1,0,-1,1,-1,1
1,1,-1,0,1,0,-1,-1,1,1
1,1,0,1,-1,-1,1,-1,0,1
1,1,0,1,-1,-1,1,0,-1,1
1,1,0,1,-1,0,1,-1,-1,1
1,1,0,1,0,-1,1,-1,-1,1
1,1,0,-1,1,-1,-1,1,0,1
1,1,0,-1,1,-1,-1,0,1,1
1,1,0,-1,1,-1,0,1,-1,1
1,1,0,-1,1,-1,0,-1,1,1
1,1,0,-1,1,0,-1,1,-1,1
1,1,0,-1,1,0,-1,-1,1,1
1,1,0,0,1,-1,-1,1,-1,1
1,1,0,0,1,-1,-1,-1,1,1
1,-1,1,1,1,-1,1,-1,-1,1
1,-1,1,1,1,-1,-1,-1,1,1
1,-1,1,1,-1,-1,1,1,-1,1
1,-1,1,1,-1,-1,1,0,0,1
1,-1,1,1,-1,0,1,0,-1,1
1,-1,1,1,0,-1,1,-1,0,1
1,-1,1,1,0,-1,1,0,-1,1
1,-1,1,1,0,0,1,-1,-1,1
1,-1,1,-1,1,1,1,-1,-1,1
1,-1,1,-1,1,1,-1,-1,1,1
1,-1,1,-1,1,-1,1,1,-1,1
1,-1,1,-1,1,-1,1,-1,1,1
1,-1,1,-1,1,-1,1,0,0,1
1,-1,1,-1,1,-1,-1,1,1,1
1,-1,1,-1,1,-1,0,0,1,1
1,-1,1,-1,1,0,1,-1,0,1
1,-1,1,-1,1,0,1,0,-1,1
1,-1,1,-1,1,0,-1,0,1,1
1,-1,1,-1,1,0,0,-1,1,1
1,-1,1,-1,-1,1,-1,1,1,1
1,-1,1,-1,-1,1,0,0,1,1
1,-1,1,-1,0,1,-1,0,1,1
1,-1,1,-1,0,1,0,-1,1,1
1,-1,1,0,1,-1,1,-1,0,1
1,-1,1,0,1,-1,1,0,-1,1
1,-1,1,0,1,-1,-1,0,1,1
1,-1,1,0,1,-1,0,-1,1,1
1,-1,1,0,1,0,1,-1,-1,1
1,-1,1,0,1,0,-1,-1,1,1
1,-1,1,0,-1,1,-1,0,1,1
1,-1,1,0,0,1,-1,-1,1,1
1,-1,-1,1,1,1,1,-1,-1,1
1,-1,-1,1,1,1,-1,1,-1,1
1,-1,-1,1,1,1,-1,-1,1,1
1,-1,-1,1,1,1,-1,0,0,1
1,-1,-1,1,1,1,0,-1,0,1
1,-1,-1,1,1,1,0,0,-1,1
1,-1,-1,1,1,-1,1,-1,1,1
1,-1,-1,1,1,-1,1,0,0,1
1,-1,-1,1,1,-1,-1,1,1,1
1,-1,-1,1,1,-1,0,0,1,1
1,-1,-1,1,1,0,1,-1,0,1
1,-1,-1,1,1,0,1,0,-1,1
1,-1,-1,1,1,0,-1,0,1,1
1,-1,-1,1,1,0,0,-1,1,1
1,-1,-1,1,-1,1,1,1,-1,1
1,-1,-1,1,-1,1,1,0,0,1
1,-1,-1,1,-1,-1,1,1,1,1
1,-1,-1,1,-1,0,1,1,0,1
1,-1,-1,1,-1,0,1,0,1,1
1,-1,-1,1,0,1,1,-1,0,1
1,-1,-1,1,0,1,1,0,-1,1
1,-1,-1,1,0,-1,1,1,0,1
1,-1,-1,1,0,-1,1,0,1,1
1,-1,-1,1,0,0,1,1,-1,1
1,-1,-1,1,0,0,1,-1,1,1
1,-1,-1,1,0,0,1,0,0,1
1,-1,-1,-1,1,1,1,-1,1,1
1,-1,-1,-1,1,1,-1,1,1,1
1,-1,-1,-1,1,1,0,0,1,1
1,-1,-1,-1,1,-1,1,1,1,1
1,-1,-1,-1,1,0,1,0,1,1
1,-1,-1,-1,1,0,0,1,1,1
1,-1,-1,-1,-1,1,1,1,1,1
1,-1,-1,-1,0,0,1,1,1,1
1,-1,-1,0,1,1,-1,0,1,1
1,-1,-1,0,1,1,0,-1,1,1
1,-1,-1,0,1,-1,1,0,1,1
1,-1,-1,0,1,-1,0,1,1,1
1,-1,-1,0,1,0,1,-1,1,1
1,-1,-1,0,1,0,-1,1,1,1
1,-1,-1,0,1,0,0,0,1,1
1,-1,-1,0,-1,0,1,1,1,1
1,-1,-1,0,0,-1,1,1,1,1
1,-1,0,1,1,1,-1,-1,0,1
1,-1,0,1,1,1,-1,0,-1,1
1,-1,0,1,1,1,0,-1,-1,1
1,-1,0,1,1,-1,1,-1,0,1
1,-1,0,1,1,-1,1,0,-1,1
1,-1,0,1,1,-1,-1,0,1,1
1,-1,0,1,1,-1,0,-1,1,1
1,-1,0,1,1,0,1,-1,-1,1
1,-1,0,1,1,0,-1,-1,1,1
1,-1,0,1,-1,1,1,0,-1,1
1,-1,0,1,-1,-1,1,1,0,1
1,-1,0,1,-1,-1,1,0,1,1
1,-1,0,1,-1,0,1,1,-1,1
1,-1,0,1,-1,0,1,0,0,1
1,-1,0,1,0,1,1,-1,-1,1
1,-1,0,1,0,-1,1,1,-1,1
1,-1,0,1,0,-1,1,-1,1,1
1,-1,0,1,0,-1,1,0,0,1
1,-1,0,1,0,0,1,-1,0,1
1,-1,0,1,0,0,1,0,-1,1
1,-1,0,-1,1,1,-1,0,1,1
1,-1,0,-1,1,1,0,-1,1,1
1,-1,0,-1,1,-1,1,0,1,1
1,-1,0,-1,1,-1,0,1,1,1
1,-1,0,-1,1,0,1,-1,1,1
1,-1,0,-1,1,0,-1,1,1,1
1,-1,0,-1,1,0,0,0,1,1
1,-1,0,-1,-1,0,1,1,1,1
1,-1,0,-1,0,-1,1,1,1,1
1,-1,0,0,1,1,-1,-1,1,1
1,-1,0,0,1,-1,1,-1,1,1
1,-1,0,0,1,-1,-1,1,1,1
1,-1,0,0,1,-1,0,0,1,1
1,-1,0,0,1,0,-1,0,1,1
1,-1,0,0,1,0,0,-1,1,1
1,-1,0,0,-1,-1,1,1,1,1
1,0,1,1,-1,-1,1,-1,0,1
1,0,1,1,-1,-1,1,0,-1,1
1,0,1,1,-1,0,1,-1,-1,1
1,0,1,1,0,-1,1,-1,-1,1
1,0,1,-1,1,-1,1,-1,0,1
1,0,1,-1,1,-1,1,0,-1,1
1,0,1,-1,1,-1,-1,0,1,1
1,0,1,-1,1,-1,0,-1,1,1
1,0,1,-1,1,0,1,-1,-1,1
1,0,1,-1,1,0,-1,-1,1,1
1,0,1,-1,-1,1,-1,0,1,1
1,0,1,-1,-1,1,0,-1,1,1
1,0,1,-1,0,1,-1,-1,1,1
1,0,1,0,1,-1,1,-1,-1,1
1,0,1,0,1,-1,-1,-1,1,1
1,0,1,0,-1,1,-1,-1,1,1
1,0,-1,1,1,1,-1,-1,0,1
1,0,-1,1,1,1,-1,0,-1,1
1,0,-1,1,1,1,0,-1,-1,1
1,0,-1,1,1,-1,1,-1,0,1
1,0,-1,1,1,-1,-1,0,1,1
1,0,-1,1,1,-1,0,-1,1,1
1,0,-1,1,1,0,1,-1,-1,1
1,0,-1,1,1,0,-1,-1,1,1
1,0,-1,1,-1,1,1,-1,0,1
1,0,-1,1,-1,1,1,0,-1,1
1,0,-1,1,-1,-1,1,1,0,1
1,0,-1,1,-1,-1,1,0,1,1
1,0,-1,1,-1,0,1,1,-1,1
1,0,-1,1,-1,0,1,-1,1,1
1,0,-1,1,-1,0,1,0,0,1
1,0,-1,1,0,1,1,-1,-1,1
1,0,-1,1,0,-1,1,-1,1,1
1,0,-1,1,0,-1,1,0,0,1
1,0,-1,1,0,0,1,-1,0,1
1,0,-1,1,0,0,1,0,-1,1
1,0,-1,-1,1,1,-1,0,1,1
1,0,-1,-1,1,1,0,-1,1,1
1,0,-1,-1,1,-1,1,0,1,1
1,0,-1,-1,1,-1,0,1,1,1
1,0,-1,-1,1,0,1,-1,1,1
1,0,-1,-1,1,0,-1,1,1,1
1,0,-1,-1,1,0,0,0,1,1
1,0,-1,-1,-1,0,1,1,1,1
1,0,-1,-1,0,-1,1,1,1,1
1,0,-1,0,1,1,-1,-1,1,1
1,0,-1,0,1,-1,1,-1,1,1
1,0,-1,0,1,-1,-1,1,1,1
1,0,-1,0,1,-1,0,0,1,1
1,0,-1,0,1,0,-1,0,1,1
1,0,-1,0,1,0,0,-1,1,1
1,0,-1,0,-1,-1,1,1,1,1
1,0,0,1,1,-1,1,-1,-1,1
1,0,0,1,1,-1,-1,-1,1,1
1,0,0,1,-1,1,1,-1,-1,1
1,0,0,1,-1,-1,1,1,-1,1
1,0,0,1,-1,-1,1,-1,1,1
1,0,0,1,-1,-1,1,0,0,1
1,0,0,1,-1,0,1,-1,0,1
1,0,0,1,-1,0,1,0,-1,1
1,0,0,1,0,-1,1,-1,0,1
1,0,0,1,0,-1,1,0,-1,1
1,0,0,1,0,0,1,-1,-1,1
1,0,0,-1,1,1,-1,-1,1,1
1,0,0,-1,1,-1,1,-1,1,1
1,0,0,-1,1,-1,-1,1,1,1
1,0,0,-1,1,-1,0,0,1,1
1,0,0,-1,1,0,-1,0,1,1
1,0,0,-1,1,0,0,-1,1,1
1,0,0,0,1,-1,-1,0,1,1
1,0,0,0,1,-1,0,-1,1,1
1,0,0,0,1,0,-1,-1,1,1
-1,1,1,1,1,-1,1,-1,-1,1
-1,1,1,1,1,-1,-1,1,-1,1
-1,1,1,1,-1,1,-1,-1,1,1
-1,1,1,-1,1,1,1,-1,-1,1
-1,1,1,-1,1,-1,1,1,-1,1
-1,1,1,-1,1,-1,1,-1,1,1
-1,1,1,-1,1,-1,1,0,0,1
-1,1,1,-1,1,-1,0,1,0,1
-1,1,1,-1,1,0,1,-1,0,1
-1,1,1,-1,1,0,1,0,-1,1
-1,1,1,-1,1,0,0,1,-1,1
-1,1,1,-1,-1,1,1,-1,1,1
-1,1,1,-1,-1,1,0,0,1,1
-1,1,1,-1,0,1,0,-1,1,1
-1,1,1,0,1,-1,1,-1,0,1
-1,1,1,0,1,-1,1,0,-1,1
-1,1,1,0,1,-1,-1,1,0,1
-1,1,1,0,1,-1,0,1,-1,1
-1,1,1,0,1,0,1,-1,-1,1
-1,1,1,0,1,0,-1,1,-1,1
-1,1,1,0,-1,1,-1,0,1,1
-1,1,1,0,-1,1,0,-1,1,1
-1,1,1,0,0,1,-1,-1,1,1
-1,1,-1,1,1,1,1,-1,-1,1
-1,1,-1,1,1,1,-1,1,-1,1
-1,1,-1,1,1,1,-1,-1,1,1
-1,1,-1,1,1,1,-1,0,0,1
-1,1,-1,1,1,1,0,-1,0,1
-1,1,-1,1,1,1,0,0,-1,1
-1,1,-1,1,1,-1,-1,1,1,1
-1,1,-1,1,1,-1,0,1,0,1
-1,1,-1,1,1,0,-1,1,0,1
-1,1,-1,1,1,0,0,1,-1,1
-1,1,-1,1,-1,-1,1,1,1,1
-1,1,-1,-1,1,1,1,1,-1,1
-1,1,-1,-1,1,1,0,1,0,1
-1,1,-1,-1,1,-1,1,1,1,1
-1,1,-1,-1,1,0,1,1,0,1
-1,1,-1,-1,1,0,0,1,1,1
-1,1,-1,-1,-1,1,1,1,1,1
-1,1,-1,-1,0,0,1,1,1,1
-1,1,-1,0,1,1,-1,1,0,1
-1,1,-1,0,1,1,0,1,-1,1
-1,1,-1,0,1,-1,1,1,0,1
-1,1,-1,0,1,-1,0,1,1,1
-1,1,-1,0,1,0,1,1,-1,1
-1,1,-1,0,1,0,-1,1,1,1
-1,1,-1,0,1,0,0,1,0,1
-1,1,-1,0,-1,0,1,1,1,1
-1,1,-1,0,0,-1,1,1,1,1
-1,1,0,1,1,1,-1,-1,0,1
-1,1,0,1,1,1,-1,0,-1,1
-1,1,0,1,1,1,0,-1,-1,1
-1,1,0,1,1,-1,-1,1,0,1
-1,1,0,1,1,-1,0,1,-1,1
-1,1,0,1,1,0,-1,1,-1,1
-1,1,0,-1,1,1,0,1,-1,1
-1,1,0,-1,1,-1,1,1,0,1
-1,1,0,-1,1,-1,0,1,1,1
-1,1,0,-1,1,0,1,1,-1,1
-1,1,0,-1,1,0,0,1,0,1
-1,1,0,-1,-1,0,1,1,1,1
-1,1,0,-1,0,-1,1,1,1,1
-1,1,0,0,1,1,-1,1,-1,1
-1,1,0,0,1,-1,1,1,-1,1
-1,1,0,0,1,-1,-1,1,1,1
-1,1,0,0,1,-1,0,1,0,1
-1,1,0,0,1,0,-1,1,0,1
-1,1,0,0,1,0,0,1,-1,1
-1,1,0,0,-1,-1,1,1,1,1
-1,-1,1,1,1,1,1,-1,-1,1
-1,-1,1,1,1,1,-1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1,1
-1,-1,1,1,1,1,-1,0,0,1
-1,-1,1,1,1,1,0,-1,0,1
-1,-1,1,1,1,1,0,0,-1,1
-1,-1,1,1,1,-1,1,1,-1,1
-1,-1,1,1,1,-1,1,-1,1,1
-1,-1,1,1,1,-1,1,0,0,1
-1,-1,1,1,1,0,1,-1,0,1
-1,-1,1,1,1,0,1,0,-1,1
-1,-1,1,1,-1,1,-1,1,1,1
-1,-1,1,1,-1,1,0,0,1,1
-1,-1,1,1,-1,-1,1,1,1,1
-1,-1,1,1,0,1,-1,0,1,1
-1,-1,1,1,0,1,0,-1,1,1
-1,-1,1,-1,1,1,1,1,-1,1
-1,-1,1,-1,1,1,1,-1,1,1
-1,-1,1,-1,1,1,1,0,0,1
-1,-1,1,-1,1,1,0,0,1,1
-1,-1,1,-1,1,-1,1,1,1,1
-1,-1,1,-1,1,0,1,1,0,1
-1,-1,1,-1,1,0,1,0,1,1
-1,-1,1,-1,-1,1,1,1,1,1
-1,-1,1,-1,0,1,1,0,1,1
-1,-1,1,-1,0,1,0,1,1,1
-1,-1,1,-1,0,0,1,1,1,1
-1,-1,1,0,1,1,1,-1,0,1
-1,-1,1,0,1,1,1,0,-1,1
-1,-1,1,0,1,1,-1,0,1,1
-1,-1,1,0,1,1,0,-1,1,1
-1,-1,1,0,1,-1,1,1,0,1
-1,-1,1,0,1,-1,1,0,1,1
-1,-1,1,0,1,0,1,1,-1,1
-1,-1,1,0,1,0,1,-1,1,1
-1,-1,1,0,1,0,1,0,0,1
-1,-1,1,0,-1,1,1,0,1,1
-1,-1,1,0,-1,1,0,1,1,1
-1,-1,1,0,-1,0,1,1,1,1
-1,-1,1,0,0,1,1,-1,1,1
-1,-1,1,0,0,1,-1,1,1,1
-1,-1,1,0,0,1,0,0,1,1
-1,-1,1,0,0,-1,1,1,1,1
-1,-1,0,1,1,1,1,-1,0,1
-1,-1,0,1,1,1,1,0,-1,1
-1,-1,0,1,1,1,-1,1,0,1
-1,-1,0,1,1,1,-1,0,1,1
-1,-1,0,1,1,1,0,1,-1,1
-1,-1,0,1,1,1,0,-1,1,1
-1,-1,0,1,1,1,0,0,0,1
-1,-1,0,1,-1,0,1,1,1,1
-1,-1,0,1,0,-1,1,1,1,1
-1,-1,0,-1,1,0,1,1,1,1
-1,-1,0,-1,0,1,1,1,1,1
-1,-1,0,0,1,-1,1,1,1,1
-1,-1,0,0,-1,1,1,1,1,1
-1,-1,0,0,0,0,1,1,1,1
-1,0,1,1,1,1,-1,-1,0,1
-1,0,1,1,1,1,-1,0,-1,1
-1,0,1,1,1,1,0,-1,-1,1
-1,0,1,1,1,-1,1,-1,0,1
-1,0,1,1,1,-1,1,0,-1,1
-1,0,1,1,1,0,1,-1,-1,1
-1,0,1,1,-1,1,-1,0,1,1
-1,0,1,1,-1,1,0,-1,1,1
-1,0,1,1,0,1,-1,-1,1,1
-1,0,1,-1,1,1,1,-1,0,1
-1,0,1,-1,1,1,1,0,-1,1
-1,0,1,-1,1,1,0,-1,1,1
-1,0,1,-1,1,-1,1,1,0,1
-1,0,1,-1,1,-1,1,0,1,1
-1,0,1,-1,1,0,1,1,-1,1
-1,0,1,-1,1,0,1,-1,1,1
-1,0,1,-1,1,0,1,0,0,1
-1,0,1,-1,-1,1,1,0,1,1
-1,0,1,-1,-1,1,0,1,1,1
-1,0,1,-1,-1,0,1,1,1,1
-1,0,1,-1,0,1,1,-1,1,1
-1,0,1,-1,0,1,0,0,1,1
-1,0,1,-1,0,-1,1,1,1,1
-1,0,1,0,1,1,1,-1,-1,1
-1,0,1,0,1,1,-1,-1,1,1
-1,0,1,0,1,-1,1,1,-1,1
-1,0,1,0,1,-1,1,-1,1,1
-1,0,1,0,1,-1,1,0,0,1
-1,0,1,0,1,0,1,-1,0,1
-1,0,1,0,1,0,1,0,-1,1
-1,0,1,0,-1,1,1,-1,1,1
-1,0,1,0,-1,1,-1,1,1,1
-1,0,1,0,-1,1,0,0,1,1
-1,0,1,0,-1,-1,1,1,1,1
-1,0,1,0,0,1,-1,0,1,1
-1,0,1,0,0,1,0,-1,1,1
-1,0,-1,1,1,1,1,-1,0,1
-1,0,-1,1,1,1,1,0,-1,1
-1,0,-1,1,1,1,-1,1,0,1
-1,0,-1,1,1,1,-1,0,1,1
-1,0,-1,1,1,1,0,1,-1,1
-1,0,-1,1,1,1,0,-1,1,1
-1,0,-1,1,1,1,0,0,0,1
-1,0,-1,1,-1,0,1,1,1,1
-1,0,-1,1,0,-1,1,1,1,1
-1,0,-1,-1,1,0,1,1,1,1
-1,0,-1,-1,0,1,1,1,1,1
-1,0,-1,0,1,-1,1,1,1,1
